Unique ID;Player;Best Position;Age;Division;Salary;Transfer Value;Preferred Foot;Height;Starts;Minutes;Rating;Goals;xG-OP;xG;NP-xG/90;Penalties Taken;Penalties Scored;xG/shot;Free Kick Shots;Shots From Outside The Box Per 90 minutes;Goals From Outside The Box;Shots;Shots on Target;Headers Attempted;Headers Won;Key Headers per 90;Crosses Attempted;Crosses Completed;Open Play Crosses Attempted;Open Play Crosses Completed;Mistakes Leading to Goals;Distance;Sprints/90;Dribbles;Fouls Against;Off;Assists;xA;Chances Created per 90;Clear Cut Chances Created;Key Passes;Open Play Key Passes per 90;Passes Attempted;Passes Completed;PsP;Possession Lost per 90;Blk;Clearances;Interceptions;Key Tackles;Possession Won per 90;Pres A;Pres C;Shts Blckd;Tackled Completed;Tackles Attempted;Fouls Made;Yellow Cards;Red cards
43392031;Lucas Felippe;M (C);26;AF Viseu - Div. Honra;R$44K p/m;R$160K - R$1.5M;Left-Footed Only;1.78 m;38;3146;6.83;3;-1.16;4.16;0.1;0;0;0.109473684210526;2;0.3;0;38;8;53;23;0.1;29;0;1;0;0;302.4km;8.0;9;18;0;7;6.87;0.3;11;45;0.7;1351;1205;141;8.0;10;19;65;1;12.6;139;36;2;28;36;20;1;0
19399374;Lucas Góes;M (C);26;Brasileirão Série D;R$3.2K p/m;R$ 0;Right-Footed Only;1.80 m;9;1168;6.73;0;-1.99;1.99;0.2;0;0;0.0995;0;0.5;0;20;1;31;22;0.2;4;1;4;1;0;144.9km;8.8;2;8;0;5;3.79;0.5;6;9;0.7;601;524;43;4.9;7;13;32;1;15.3;75;17;3;8;12;3;0;0
19287044;Lucas Gomes;DM;30;Brasileirão Série D;R$36K p/m;R$0 - R$200K;Right-Footed Only;1.81 m;32;2628;6.82;1;-1.27;2.27;0.1;0;0;0.103181818181818;0;0.2;0;22;1;104;58;0.3;10;2;4;1;0;320.1km;7.9;2;8;0;4;3.71;0.2;7;27;0.9;1354;1204;147;7.8;15;28;78;2;11.0;169;40;8;28;35;19;6;0
19387801;Lucas Gonçalves;DM;29;Premier League;R$25K p/m;R$160K - R$550K;Right-Footed Only;1.82 m;32;2880;6.53;3;1.54;1.46;0.0;0;0;0.104285714285714;0;0.0;0;14;3;0;0;0.0;0;0;0;0;0;0.0km;0.0;0;30;0;5;3.4;0.0;0;0;0.0;640;432;0;0.0;0;0;0;0;0.0;0;0;0;60;72;39;2;4
19340949;Lucas Hulk;DM;33;National 2 Groupe C;R$13K p/m;R$ 0;Right-Footed Only;1.80 m;24;1825;6.67;0;-1.51;1.51;0.1;0;0;0.094375;0;0.3;1;16;1;64;44;0.6;5;1;5;1;0;230.4km;9.0;1;5;1;1;4.62;0.3;7;20;1.0;953;848;109;6.0;6;22;55;0;14.3;104;42;8;25;33;23;4;0
19260882;Lucas Marques;M (C);31;Brasileirão Série C;R$36K p/m;R$0 - R$140K;Right-Footed;1.78 m;19;1613;6.83;1;-0.22;1.22;0.1;0;0;0.101666666666667;0;0.2;0;12;3;31;13;0.1;4;0;4;0;0;202.8km;11.1;1;13;0;1;1.74;0.1;2;10;0.6;910;833;56;5.5;11;20;46;0;13.0;106;21;2;18;21;11;7;0
19274259;Lucas Mineiro;DM, M (C);30;Brasileirão;R$175K p/m;R$1.9M - R$19M;Left-Footed;1.88 m;20;1657;6.78;1;-1.92;2.92;0.2;0;0;0.153684210526316;0;0.3;0;19;3;46;24;0.4;41;3;5;1;0;197.8km;9.6;8;6;0;2;3.55;0.2;4;8;0.4;963;899;70;5.8;6;7;58;1;14.0;131;24;0;21;24;24;1;1
2000192541;Lucas Nunes;DM;20;1st National - ACFF;R$9.5K p/m;R$25K - R$80K;Right-Footed;1.81 m;21;1385;6.78;1;-0.02;1.02;0.1;0;0;0.0927272727272727;0;0.1;0;11;3;56;34;0.3;3;1;3;1;0;170.3km;9.1;3;3;0;3;2.96;0.0;0;23;1.5;711;618;89;6.3;3;11;24;0;10.5;68;23;4;18;23;13;1;0
19270851;Lucas Ramos;DM;31;1. Liga;R$18K p/m;R$25K - R$260K;Left-Footed;1.87 m;19;1741;6.65;1;-0.58;1.58;0.1;0;0;0.1975;0;0.1;0;8;1;42;28;0.2;4;3;4;3;0;205.7km;8.5;3;16;2;2;1.32;0.1;2;22;1.1;815;714;92;7.2;4;14;49;1;12.1;89;38;2;23;26;12;0;0
19088262;Lucas Sasha;M (C);36;1ª División;R$92.5K p/m;R$300K - R$3M;Right-Footed;1.77 m;19;1532;6.45;1;-1.55;2.55;0.1;0;0;0.141666666666667;0;0.1;0;18;5;7;4;0.1;1;1;1;1;0;38.5km;2.3;1;7;0;0;1.52;0.2;3;1;0.1;165;136;9;13.9;2;3;7;0;11.6;21;7;3;4;7;7;4;1
